,post
473,thank you so much for coming  this speech will prove to win more than they realize  altright pizzahutjew
2020,normal white person  its okay to be white clown world response  youre fired and banned from any traditional employment opportunities for the rest of your life
6166,what s the meanest thing you can do to a blind person  give them a cheese grater to read 
13,prof kmac is right all along that jews have been manipulate whiteeuro people
1912, and his black minions are still answering to da   white man   talcum x  
3852,amren is not pro white i think  when i offered to speak i was answered by a jew  then no one got back to me
3086,i really only care about preserving white countries 
5897,What do you call a white girl whos faster than her brothers A redneck virgin
1627,demokkkrats started the kkk and now they are starting a racist jihad against white cops  demokkkrats are racism experts 
3586,what  that is white  i said whitelivesmatter too
1339,white supremacy a myth black privilege is real  via
562,america was 95  white until 1965  the rest of the west was even more white  we borrow technology that works  but not other people 
4135,when white is rightwho wins  jew b du b du
4842,they should start giving them a mandatory 10 years hard labor then see how many wet backs wanna enter our country
1540,we are back to support you and you alone will win preserve our beautiful white race including hillary types
3125,police standing down  let antifa blm destroy  that have targeted them  resign  let antifa
1458,identity evropa is and identitarian organization we must come together and care for each other in the white community  the liberals have single handedly declared that white americans are open game for brown illegal aliens 
2043,the white europeans r righteously angry  vote trump2016 cause white anger here will b more devastating than imaginable 
4487,can islam and the civilized world coexist tcot bancair islamistheproblem
3434,capitalism is killing us  it is the death warrant of the white race  politics greed obama islam
6171,let s be honest here  repeat the real reason why the great irish potato famine happened was because the irish figured out that they could also eat the potatoes 
2044,the white genocide continues  white race now a minority in three more uk towns and cities  read more  by
3553,the federalist  please stop glorifying manufacturing jobs via globalization freetrade cuckservative
3404,xtian left is digging its own grave by appeasing islam  nobel peace prize was awarded to an indian for denouncing hinduism 
2086,   white privilege   is the privilege you enjoy of living in a civilized white majority society 
2370,gun grabbers dont object to firearms  they object to white people owning them  antiwhite chasingdownwhites
3286,i opine  todays america supports jews  chinese  migrated muslims and all races but neglecting its white aborigines 
3136,steve clevenger is suspended for speaking out against the antiwhite attacks in charlotte and the antiwhite hate of blm 
